builder_name:             contest yachts - conyplex
type_name:                contest 31ht 31 ht
category:                 zeiljacht
build_material:           polyester
build_year:               1974.0
asking_price_euros:       19500.0
length_over_all_meters:   9.5
width_meters:             3.15
draft_meters:             1.45
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91127/XXX
