builder_name:             contest yachts - conyplex
type_name:                contest 35
category:                 zeiljacht
build_material:           polyester
build_year:               1982.0
asking_price_euros:       37500.0
length_over_all_meters:   10.65
width_meters:             3.55
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91666/XXX
