builder_name:             contest yachts - conyplex
type_name:                contest 35s
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       85000.0
length_over_all_meters:   10.7
width_meters:             3.5
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94335/XXX
