builder_name:             None
type_name:                crownline 270 cr
category:                 zeiljacht
build_material:           overig
build_year:               2009.0
asking_price_euros:       79850.0
length_over_all_meters:   8.8
width_meters:             2.95
draft_meters:             0.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              mercruiser
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93545/XXX
