builder_name:             None
type_name:                danzig kutteryacht
category:                 zeiljacht
build_material:           overig
build_year:               1956.0
asking_price_euros:       120000.0
length_over_all_meters:   23.0
width_meters:             5.05
draft_meters:             2.05
displaces_kgs:            57000.0
ballast_kgs:              None
steering:                 None
engine_name:              man
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92598/XXX
