builder_name:             None
type_name:                dartsailer 30
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       25000.0
length_over_all_meters:   9.15
width_meters:             3.1
draft_meters:             1.25
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              perkins
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91394/XXX
