builder_name:             dehler yachts
type_name:                dehler 28 s - top
category:                 zeiljacht
build_material:           polyester
build_year:               1992.0
asking_price_euros:       24900.0
length_over_all_meters:   8.6
width_meters:             2.8
draft_meters:             1.35
displaces_kgs:            None
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94622/XXX
