builder_name:             dehler yachts
type_name:                dehler 28 s
category:                 zeiljacht
build_material:           polyester
build_year:               1988.0
asking_price_euros:       25500.0
length_over_all_meters:   8.5
width_meters:             2.8
draft_meters:             1.35
displaces_kgs:            2600.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93939/XXX
