builder_name:             dehler yachts
type_name:                dehler 31 top
category:                 zeiljacht
build_material:           polyester
build_year:               1992.0
asking_price_euros:       32500.0
length_over_all_meters:   9.4
width_meters:             3.05
draft_meters:             1.5
displaces_kgs:            200.0
ballast_kgs:              None
steering:                 tiller
engine_name:              yanmar
engine_build_year:        1992.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93741/XXX
