builder_name:             dehler yachts
type_name:                dehler 34 sv
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               2008.0
asking_price_euros:       109500.0
length_over_all_meters:   10.51
width_meters:             3.49
draft_meters:             1.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92282/XXX
