builder_name:             dehler yachts
type_name:                dehler 36 cws
category:                 zeiljacht
build_material:           polyester
build_year:               1990.0
asking_price_euros:       49500.0
length_over_all_meters:   11.1
width_meters:             3.5
draft_meters:             1.85
displaces_kgs:            5600.0
ballast_kgs:              2400.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        1990.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94392/XXX
