builder_name:             dehler yachts
type_name:                dehler 39 sq dehler 39 sq
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       170000.0
length_over_all_meters:   11.96
width_meters:             3.82
draft_meters:             1.98
displaces_kgs:            7000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2009.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94520/XXX
