builder_name:             dehler yachts
type_name:                dehler 44
category:                 zeiljacht
build_material:           polyester
build_year:               2007.0
asking_price_euros:       240000.0
length_over_all_meters:   13.7
width_meters:             3.86
draft_meters:             2.25
displaces_kgs:            9500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94502/XXX
