builder_name:             dehler yachts
type_name:                dehler dehlya 25 kaluitzeilschip
category:                 zeiljacht
build_material:           polyester
build_year:               1985.0
asking_price_euros:       10500.0
length_over_all_meters:   7.5
width_meters:             2.5
draft_meters:             0.45
displaces_kgs:            1600.0
ballast_kgs:              500.0
steering:                 tiller
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88146/XXX
