builder_name:             dehler yachts
type_name:                dehler optima 92
category:                 zeiljacht
build_material:           polyester
build_year:               1980.0
asking_price_euros:       16900.0
length_over_all_meters:   9.2
width_meters:             3.0
draft_meters:             1.7
displaces_kgs:            3500.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        1984.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94518/XXX
