builder_name:             delphia yachts
type_name:                delphia 29
category:                 zeiljacht
build_material:           overig
build_year:               None
asking_price_euros:       72237.0
length_over_all_meters:   9.52
width_meters:             2.95
draft_meters:             1.82
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90328/XXX
