builder_name:             delphia yachts
type_name:                delphia 33.3
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       59000.0
length_over_all_meters:   10.35
width_meters:             3.47
draft_meters:             1.85
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94211/XXX
