builder_name:             delphia yachts
type_name:                delphia yachts delphia 40
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       85000.0
length_over_all_meters:   11.95
width_meters:             3.98
draft_meters:             2.0
displaces_kgs:            8300.0
ballast_kgs:              None
steering:                 None
engine_name:              lombardini
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94901/XXX
