builder_name:             dufour yachts (fra)
type_name:                dufour 310 gl dufour 310 gl
category:                 zeiljacht
build_material:           polyester
build_year:               2015.0
asking_price_euros:       99500.0
length_over_all_meters:   9.67
width_meters:             3.2
draft_meters:             1.9
displaces_kgs:            940.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        2015.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88922/XXX
