builder_name:             dufour yachts (fra)
type_name:                dufour 32 classic dufour 32 classic
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       37500.0
length_over_all_meters:   9.96
width_meters:             3.28
draft_meters:             1.7
displaces_kgs:            4430.0
ballast_kgs:              1275.0
steering:                 wheel
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92412/XXX
