builder_name:             dufour yachts (fra)
type_name:                dufour 36-3 classic
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       59000.0
length_over_all_meters:   11.0
width_meters:             3.75
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        1999.0
standing_height_meters:   1.85
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94962/XXX
