builder_name:             dufour yachts (fra)
type_name:                dufour 365 grand large limited edition arpge
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       89000.0
length_over_all_meters:   10.81
width_meters:             3.65
draft_meters:             1.82
displaces_kgs:            6260.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        2006.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93089/XXX
