builder_name:             dufour yachts (fra)
type_name:                dufour 3800
category:                 zeiljacht
build_material:           polyester
build_year:               1982.0
asking_price_euros:       19999.0
length_over_all_meters:   9.3
width_meters:             3.2
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91049/XXX
