builder_name:             dufour yachts (fra)
type_name:                dufour 445 grand large
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       198000.0
length_over_all_meters:   13.5
width_meters:             4.34
draft_meters:             1.85
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93378/XXX
