builder_name:             dufour yachts (fra)
type_name:                dufour dufour 325 grand large
category:                 zeiljacht
build_material:           onbekend
build_year:               2010.0
asking_price_euros:       69000.0
length_over_all_meters:   10.08
width_meters:             3.4
draft_meters:             1.55
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89255/XXX
