builder_name:             dufour yachts (fra)
type_name:                dufour yachts dufour 335 grand large
category:                 zeiljacht
build_material:           overig
build_year:               2012.0
asking_price_euros:       129000.0
length_over_all_meters:   10.28
width_meters:             3.49
draft_meters:             1.55
displaces_kgs:            5550.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92685/XXX
