builder_name:             elan yachts (slo)
type_name:                elan 344 impression kajuitzeiljacht
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       59000.0
length_over_all_meters:   10.36
width_meters:             3.49
draft_meters:             1.6
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93183/XXX
