builder_name:             elan yachts (slo)
type_name:                elan 37
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       80000.0
length_over_all_meters:   11.33
width_meters:             3.65
draft_meters:             2.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88935/XXX
