builder_name:             elan yachts (slo)
type_name:                elan 380 ownerscabin
category:                 zeiljacht
build_material:           polyester
build_year:               2010.0
asking_price_euros:       125000.0
length_over_all_meters:   11.5
width_meters:             3.65
draft_meters:             2.35
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88910/XXX
