builder_name:             elan yachts (slo)
type_name:                elan 444 impression
category:                 zeiljacht
build_material:           polyester
build_year:               2014.0
asking_price_euros:       145000.0
length_over_all_meters:   13.85
width_meters:             4.18
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89566/XXX
