builder_name:             elan yachts (slo)
type_name:                elan line elan 380
category:                 zeiljacht
build_material:           overig
build_year:               2010.0
asking_price_euros:       120000.0
length_over_all_meters:   11.34
width_meters:             3.65
draft_meters:             2.35
displaces_kgs:            6650.0
ballast_kgs:              None
steering:                 None
engine_name:              builder
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92662/XXX
