builder_name:             elan yachts (slo)
type_name:                elan line elan 434 impression
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       197000.0
length_over_all_meters:   13.4
width_meters:             4.18
draft_meters:             1.6
displaces_kgs:            10900.0
ballast_kgs:              None
steering:                 None
engine_name:              builder
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92661/XXX
