builder_name:             None
type_name:                esslinger & abt e + a 40
category:                 zeiljacht
build_material:           overig
build_year:               1982.0
asking_price_euros:       69000.0
length_over_all_meters:   12.2
width_meters:             3.7
draft_meters:             1.95
displaces_kgs:            11700.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94809/XXX
