builder_name:             etap yachting
type_name:                etap 21 i
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       23500.0
length_over_all_meters:   6.56
width_meters:             2.49
draft_meters:             0.7
displaces_kgs:            1150.0
ballast_kgs:              None
steering:                 None
engine_name:              yamaha
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89186/XXX
