builder_name:             etap yachting
type_name:                etap 35i
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       54000.0
length_over_all_meters:   10.6
width_meters:             3.51
draft_meters:             1.55
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94745/XXX
