builder_name:             etap yachting
type_name:                etap 39 s launch 2005
category:                 zeiljacht
build_material:           polyester sandwich
build_year:               2001.0
asking_price_euros:       125000.0
length_over_all_meters:   11.88
width_meters:             3.85
draft_meters:             1.92
displaces_kgs:            900.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   1.92
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90940/XXX
