builder_name:             None
type_name:                fellowship 28
category:                 zeiljacht
build_material:           polyester
build_year:               1976.0
asking_price_euros:       8500.0
length_over_all_meters:   8.6
width_meters:             2.65
draft_meters:             1.08
displaces_kgs:            3600.0
ballast_kgs:              None
steering:                 tiller
engine_name:              farymann
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94715/XXX
