builder_name:             None
type_name:                friedship 35 kielmidzwaard
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       39900.0
length_over_all_meters:   10.6
width_meters:             3.5
draft_meters:             1.2
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        1989.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95099/XXX
