builder_name:             friendship yachts (nl)
type_name:                friendship 26
category:                 zeiljacht
build_material:           polyester
build_year:               1983.0
asking_price_euros:       7800.0
length_over_all_meters:   8.1
width_meters:             2.75
draft_meters:             1.3
displaces_kgs:            2200.0
ballast_kgs:              None
steering:                 tiller
engine_name:              farymann
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91147/XXX
