builder_name:             gib'sea/gibert marine (fra)
type_name:                gib sea 414
category:                 zeiljacht
build_material:           polyester
build_year:               1995.0
asking_price_euros:       98000.0
length_over_all_meters:   12.4
width_meters:             3.95
draft_meters:             1.85
displaces_kgs:            7500.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        1995.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91434/XXX
