builder_name:             None
type_name:                glacer 40
category:                 zeiljacht
build_material:           staal
build_year:               1984.0
asking_price_euros:       54000.0
length_over_all_meters:   12.3
width_meters:             3.95
draft_meters:             1.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93035/XXX
