builder_name:             None
type_name:                glacer glacer 43 lifting keel
category:                 zeiljacht
build_material:           staal
build_year:               1983.0
asking_price_euros:       80000.0
length_over_all_meters:   13.26
width_meters:             3.8
draft_meters:             None
displaces_kgs:            18000.0
ballast_kgs:              None
steering:                 None
engine_name:              mercedes
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94905/XXX
