builder_name:             grand soleil (cantiere del pardo)
type_name:                grand soleil 37 b&c
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       99000.0
length_over_all_meters:   11.7
width_meters:             3.68
draft_meters:             2.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91836/XXX
