builder_name:             grand soleil (cantiere del pardo)
type_name:                grand soleil 43 43
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       129000.0
length_over_all_meters:   12.98
width_meters:             4.02
draft_meters:             2.11
displaces_kgs:            8500.0
ballast_kgs:              2700.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2001.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89278/XXX
