builder_name:             hallberg-rassy
type_name:                hallberg rassy 31 scandinavia
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       95000.0
length_over_all_meters:   9.62
width_meters:             3.3
draft_meters:             1.71
displaces_kgs:            4500.0
ballast_kgs:              2000.0
steering:                 None
engine_name:              volvo
engine_build_year:        1998.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90007/XXX
