builder_name:             hallberg-rassy
type_name:                hallberg rassy 312 mkii
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       59500.0
length_over_all_meters:   9.42
width_meters:             3.08
draft_meters:             1.62
displaces_kgs:            4900.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        1989.0
standing_height_meters:   1.8
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93400/XXX
