builder_name:             hallberg-rassy
type_name:                hallberg rassy 43 mki
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       260000.0
length_over_all_meters:   13.57
width_meters:             4.08
draft_meters:             2.0
displaces_kgs:            12700.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94245/XXX
