builder_name:             hallberg-rassy
type_name:                hallberg rassy 54
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       679500.0
length_over_all_meters:   16.74
width_meters:             4.7
draft_meters:             2.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90252/XXX
