builder_name:             hallberg-rassy
type_name:                hallberg rassy hallberg rassy 39
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       179000.0
length_over_all_meters:   12.22
width_meters:             3.8
draft_meters:             1.85
displaces_kgs:            10000.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94920/XXX
