builder_name:             hallberg-rassy
type_name:                hallberg rassy hallberg rassy 49 ketch
category:                 zeiljacht
build_material:           polyester
build_year:               1987.0
asking_price_euros:       240000.0
length_over_all_meters:   14.96
width_meters:             4.42
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92608/XXX
