builder_name:             hallberg-rassy
type_name:                hallberg rassy hr 49
category:                 zeiljacht
build_material:           polyester
build_year:               1984.0
asking_price_euros:       245000.0
length_over_all_meters:   14.98
width_meters:             4.42
draft_meters:             2.2
displaces_kgs:            18000.0
ballast_kgs:              None
steering:                 None
engine_name:              builder
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92656/XXX
