builder_name:             hanse yachts
type_name:                hanse 342 hanse 342
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       66500.0
length_over_all_meters:   10.35
width_meters:             3.4
draft_meters:             1.85
displaces_kgs:            None
ballast_kgs:              1600.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92944/XXX
