builder_name:             hanse yachts
type_name:                hanse hanse 430
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       160000.0
length_over_all_meters:   13.28
width_meters:             4.25
draft_meters:             2.21
displaces_kgs:            10414.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92659/XXX
