builder_name:             hanse yachts
type_name:                hanse yachts hanse 461e
category:                 zeiljacht
build_material:           composiet
build_year:               2006.0
asking_price_euros:       200350.0
length_over_all_meters:   14.17
width_meters:             4.44
draft_meters:             None
displaces_kgs:            11900.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92606/XXX
