builder_name:             None
type_name:                hoek design 37 one-off
category:                 zeiljacht
build_material:           epoxy composiet
build_year:               1995.0
asking_price_euros:       59750.0
length_over_all_meters:   11.2
width_meters:             3.6
draft_meters:             1.95
displaces_kgs:            5500.0
ballast_kgs:              None
steering:                 tiller
engine_name:              mitsubishi
engine_build_year:        1995.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91431/XXX
