builder_name:             hunter marine (usa)
type_name:                hunter 356
category:                 zeiljacht
build_material:           polyester
build_year:               2003.0
asking_price_euros:       79500.0
length_over_all_meters:   10.89
width_meters:             3.76
draft_meters:             1.52
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94792/XXX
