builder_name:             hunter marine (usa)
type_name:                hunter 450 passage
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       120000.0
length_over_all_meters:   13.3
width_meters:             4.24
draft_meters:             2.2
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88765/XXX
