builder_name:             None
type_name:                jan haring 7.15
category:                 zeiljacht
build_material:           staal
build_year:               1979.0
asking_price_euros:       9500.0
length_over_all_meters:   7.15
width_meters:             2.87
draft_meters:             0.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94196/XXX
