builder_name:             jongert
type_name:                jongert jongert 14 s
category:                 zeiljacht
build_material:           overig
build_year:               1977.0
asking_price_euros:       199000.0
length_over_all_meters:   16.0
width_meters:             4.6
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              mercedes
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92763/XXX
