builder_name:             jonmeri yachts
type_name:                jonmeri 40
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       159500.0
length_over_all_meters:   12.01
width_meters:             3.85
draft_meters:             2.05
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94092/XXX
