builder_name:             None
type_name:                kievit 22
category:                 zeiljacht
build_material:           onbekend
build_year:               2010.0
asking_price_euros:       11500.0
length_over_all_meters:   6.0
width_meters:             2.0
draft_meters:             0.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              8
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89672/XXX
