builder_name:             kirie (fra)
type_name:                kirie feeling 32
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       60000.0
length_over_all_meters:   9.95
width_meters:             3.42
draft_meters:             1.65
displaces_kgs:            4100.0
ballast_kgs:              None
steering:                 None
engine_name:              nanni
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94884/XXX
