builder_name:             None
type_name:                koopmans 36 inruil kleiner schip bespreekbaar
category:                 zeiljacht
build_material:           aluminium
build_year:               1983.0
asking_price_euros:       152500.0
length_over_all_meters:   10.8
width_meters:             3.25
draft_meters:             1.9
displaces_kgs:            5700.0
ballast_kgs:              None
steering:                 tiller
engine_name:              nieuwe
engine_build_year:        2010.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91538/XXX
