builder_name:             halmatic
type_name:                lm 33 vitesse
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       47000.0
length_over_all_meters:   9.85
width_meters:             3.1
draft_meters:             1.4
displaces_kgs:            800.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        1993.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88777/XXX
